Assignee_Name,AC
COUNCIL OF SCIENTIC & INDUSTRIAL RESERACH,Council For Scientific And Industrial Research
Council of Scientific & Industrial Research,Council For Scientific And Industrial Research
Council of Scientific and Industrial Research,Council For Scientific And Industrial Research
Covalent Associates Inc,Covalent Associates Inc
Covalent Associates Incorporated,Covalent Associates Inc
"CP SOFC IP, LLC","Cp Sofc Ip, Llc"
CPD INNOVATION,Cpd Innovation
CPT Group GmbH,Cpt Group Gmbh
Creavis,Creavis
CREAVIS Gesellschaft fuer Tech.und Innovation,Creavis
CRF Societa Consortile per Azioni,Centro Ricerche Fiat S.C.P.A.
CSTI. COMM. V,Csti. Comm. V
Ctci Foundation,Ctci Foundation
Cummins Enterprise LLC,Cummins Enterprise Llc
CWZE Power Inc.,Cwze Power Inc.
Cymbet Corporation,Cymbet Corp
"Cyntec Co., Ltd.","Cyntec Co., Ltd."
"Dai Nippon Printing Co., Ltd.","Dai Nippon Printing Co., Ltd."
"Daihatsu Motor Co., Ltd.","Daihatsu Motor Co., Ltd."
"DAIICHI KIGENSO KAGAKU KOGYO CO., LTD.","Daiichi Kigenso Kagaku-Kogyo Co., Ltd."
"Daiichi Kigenso Kagaku-Kogyo Co., Ltd.","Daiichi Kigenso Kagaku-Kogyo Co., Ltd."
"Dai-Ichi Kogyo Seigaku Co., Ltd.","Dai-Ichi Kogyo Seiyaku Co., Ltd."
"Dai-Ichi Kogyo Seiyaki Co., Ltd.","Dai-Ichi Kogyo Seiyaku Co., Ltd."
"Dai-Ichi Kogyo Seiyaku Co., Ltd.","Dai-Ichi Kogyo Seiyaku Co., Ltd."
"Daikin Industries, Ltd.","Daikin Industries, Ltd."
Daimler AG,Daimler-Benz Ag
Daimler-Benz AG,Daimler-Benz Ag
Daimler-Benz Aktiengesellschaft,Daimler-Benz Ag
DaimlerChrysler AG,Daimler-Benz Ag
"Dainichiseika Color & Chemicals Mfg. Co., Ltd.","Dainichiseika Color & Chemicals Mfg. Co., Ltd."
Dainichiseika Color &amp; Chemicals Mfg. Co.,"Dainichiseika Color & Chemicals Mfg. Co., Ltd."
"Dainichiseika Color &amp; Chemicals Mfg. Co., Ltd.","Dainichiseika Color & Chemicals Mfg. Co., Ltd."
"Dainippon Screen Mfg. Co., Ltd.","Dainippon Screen Mfg. Co., Ltd."
DAIS ANALYTIC CORPORATION,Dais Corp.
Dais Corporation,"Daiso Co., Ltd."
"Daiso Co., LTD","Daiso Co., Ltd."
"Daiso Co., Ltd.","Daiso Co., Ltd."
"Daizo Jito, Noriyuki Tamura, Nobuiro Sakitani, Hiroshi Minami, Hiromasa Yag, Maruo Kamino,","Sanyo Electric Co., Ltd."
"Dalian Institute Of Chemical Physics, Chinese Academy Of Sciences","Dalian Institute Of Chemical Physics, Chinese Academy Of Sciences"
Danacell ApS,Danacell Aps
Danionics A/S,Danionics A/S
Danish Power Systems APS,Danish Power Systems Aps
Danmarks Tekniske Universitet,Danmarks Tekniske Universitet
DANMARKS TEKNISKE UNIVERSITET - DTU,Danmarks Tekniske Universitet
"David Fuel Cell Components, S.L.","David Fuel Cell Components, S.L."
David R. Hall,David R. Hall
"DCH Technology, Inc.","Dch Technology, Inc."
de Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek (TNO),De Nederlandse Organisatie Voor Toegepast-Natuurwetenschappelijk Onderzoek (Tno)
De Nora Permelec S.p.A.,De Nora Permelec Ltd.
De Nora S.p.A.,Industrie De Nora S.p.A.
Deakin University,Deakin University
Degussa AG,Degussa Ag
Degussa Aktiengesellschaft,Degussa Ag
Degussa-Huls Aktiengellschaft,Degussa Ag
Degussa-Huls Aktiengesellschaft,Degussa Ag
Delphi Technologies Inc,"Delphi Technologies, Inc."
"Delphi Technologies, Inc.","Delphi Technologies, Inc."
Demaray LLC,Demaray Llc
"DEMARAY, LLC",Demaray Llc
Den norske stats ol jeselskap a.s,Den Norske Stats Ol Jeselskap A.S
DeNora S.p.A.,Industrie De Nora S.p.A.
Denso Corp,Denso Corp
DENSO CORPORATION,Denso Corp
Design Technology &amp; Innovation,Design Technology And Innovation Ltd.
Design Technology and Innovation Ltd.,Design Technology And Innovation Ltd.
Detroit Center Tool,Detroit Center Tool
Deutsche Forschungsanstalt fuer Luft- und Raumfahrt e.V.,Deutsches Zentrum Fuer Luft -Und Raumfahrt E.V.
Deutsches Zentrum fuer Luft -und Raumfahrt e.V.,Deutsches Zentrum Fuer Luft -Und Raumfahrt E.V.
Diamond Shamrock Chemicals Company,Diamond Shamrock Chemicals Co.
Digital Heat Technology Ltd.,Digital Heat Technology Ltd.
"Dioxide Materials, Inc","Dioxide Materials, Inc."
"Dioxide Materials, Inc.","Dioxide Materials, Inc."
"Directed Vapor Technologies International, Inc.","Directed Vapor Technologies International, Inc."
DKJ NEW ENERGY S & T CO. LTD.,Dkj New Energy S&T Co.Ltd.
dmc,Dmc
Donaldson & Co.,Donaldson & Co.
DONGGUAN AMPEREX TECHNOLOGY LIMITED,Dongguan Amperex Technology Ltd.
Dongguan Amperex Technology Ltd.,Dongguan Amperex Technology Ltd.
DONGGUK UNIVERSITY INDUSTRY-ACADEMIC COOPERATION FOUNDATION,Dongguk University Industry-Academic Cooperation Foundation
"DONGJIN SEMICHEM CO., LTD.","Dongjin Semichem Co.,Ltd."
"Dongjin Semichem Co.,Ltd.","Dongjin Semichem Co.,Ltd."
Donnelly Corporation,Donnelly Corp
DOOSAN CORPORATION,Doosan Corp
Dornier GmbH,Dornier Gmbh
"Dow Corning Toray Silicone Co., Ltd.",Dow Corning Toray Silicone Co. Ltd.
Dow Global Technologies Inc.,Dow Global Technologies Inc.
Dow Global Technologies LLC,Dow Global Technologies Inc.
"DOWA HOLDINGS CO., LTD.","Dowa Holdings Co.,Ltd."
Dowty Electronic Components Limited,Dowty Electronic Components Ltd
Dr. Ing. h.c. F. Porsche AG,Dr.Ing.H.C.F.Porsche Ag
DR. ING. H.C.F. PORSCHE AG,Dr.Ing.H.C.F.Porsche Ag
"Dreamweaver International, Inc.","Dreamweaver International, Inc."
Drexel University,Drexel University
DSM IP Assets B.V.,Dsm Ip Assets B.V.
Du Pont-Mitsui Polychemicals Co. Ltd,"Du Pont-Mitsui Polychemicals Co.,Ltd."
"DUPONT SAFETY & CONSTRUCTION, INC.","Dupont Safety & Construction, Inc."
Dupont Teijin Advanced Papers Japan Ltd,Dupont Teijin Advanced Papers Japan Ltd
DuPont Teijin Films U.S. Limited Partnership,Dupont Teijin Films U.S. Lp
Duracell International Inc.,Duracell International Inc.
DUTCH POLYMER INSTITUTE,Dutch Polymer Institute
Dynalene Inc,Dynantis Corp
Dynantis Corp,Dynantis Corp
DYNANTIS CORPORATION,Dynantis Corp
Dyson Technology Limited,Dyson Technology Ltd
E I du Pont de Nemours and Company,E. I. Du Pont De Nemours And Co
E I DU PONT DE NEMOURS AND COMPANY AND TOYOTA JIDOSHA KABUSHIKI KAISHA,E. I. Du Pont De Nemours And Co
E. I. du Pont de Nemours and Company,E. I. Du Pont De Nemours And Co
"E. I. du Pont de Nemours and Company, Inc.",E. I. Du Pont De Nemours And Co
E. I. Du Pont de Nemours Company,E. I. Du Pont De Nemours And Co
E. I. du Pont Nemours and Co.,E. I. Du Pont De Nemours And Co
E. I. duPont de Nemours and Company,E. I. Du Pont De Nemours And Co
E.C.R. - Electro-Chemical Research Ltd.,E.C.R.-Electro-Chemical Research Ltd.
E.C.R. -Electro-Chemical Research Ltd.,E.C.R.-Electro-Chemical Research Ltd.
E.C.R.-Electro-Chemical Research Ltd.,E.C.R.-Electro-Chemical Research Ltd.
E.I Du Pont De Nemours and Company,E.C.R.-Electro-Chemical Research Ltd.
E.I. du Pont de Nemours and Company,E. I. Du Pont De Nemours And Co
E.I. du Pont Demours and Company,E. I. Du Pont De Nemours And Co
"EAGLEPICHER TECHNOLOGIES, LLC","Eaglepicher Technologies, Llc"
East China Normal University,East China Normal University
Ebara Corporation,Ebara Corp
"EC POWER, LLC","Ec Power, Llc"
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE MONTPELLIER,École Nationale Supérieure De Chimie De Montpellier
EE Systems Group Inc.,Ee Systems Group Inc.
Ei Du Pont De Nemours and Co,E. I. Du Pont De Nemours And Co
EI Du Pont De Nemours and Company and,E. I. Du Pont De Nemours And Co
EIC Laboratories Inc.,Eic Laboratories Inc.
"EIC Laboratories, Inc.",Eic Laboratories Inc.
EIG LTD.,Eic Laboratories Inc.
ELBIT SYSTEMS LAND AND C4I LTD,Elbit Systems Land And C4I Ltd
Elbit Systems Land and C4I Ltd.,Elbit Systems Land And C4I Ltd
Elchemtech Co Ltd,"Elchemtech Co., Ltd."
"Elchemtech Co., Ltd.","Elchemtech Co., Ltd."
Elcogen AS,Elcogen As
elcomax membranes GmbH,Elcomax Membranes Gmbh
Electricite De France,Électricité De France
Electricite de France - Service National,Électricité De France
Electricite de France (Servuce National),Électricité De France
Electricite de France-Service National,Électricité De France
"Electrion, Inc.","Electrion, Inc."
"ElectroChem, Inc.","Electrochem, Inc."
Electrofuel Inc.,Electrofuel Inc.
Electronics and Telecommunications Research Institute,Electronics And Telecommunications Research Institute
Electrosynthesis Co Inc Co,Electrosynthesis Co Inc Co
Electrovaya Inc.,Electrovaya Inc.
"Elf Atochem North America, Inc.","Elf Atochem North America, Inc."
Eliiy Power Co. Ltd.,Eliiy Power Co. Ltd.
"ELIIY Power Co., Ltd.",Eliiy Power Co. Ltd.
ELRINGKLINGER AG,Elringklinger Ag
"Eltron Research, Inc.","Eltron Research, Inc."
Emitec Gesellschaft fuer Emissionstechnologie mbH,Emitec Gesellschaft Fuer Emissionstechnologie mbH
EMPA,Empa
Empire Technology Development LLC,Empire Technology Development Llc
Encite LLC,"Encite, Llc"
"Encite, LLC","Encite, Llc"
ENER1 Battery Company,Ener1 Battery Co
"Enerdel, Inc.","Enerdel, Inc."
Energy Materials Corporation,Energy Materials Corp
"Energy Partners, L.C.","Energy Partners, L.C."
Energy Power Systems LLC,Energy Power Systems Llc.
Energy Power Systems LLC.,Energy Power Systems Llc.
Energy Research Corporation,Energy Research Corp
Enerize Corporation,Enerize Corp
"Enerland Co., Ltd.","Enerland Co., Ltd."
ENEVATE CORPORATION,Enevate Corp
Engelhard Minerals & Chemicals Corporation,Engelhard Minerals & Chemicals Corp
Eniricerche S.p.A.,Eniricerche S.P.A.
Eniricherche S.p.A.,Eniricerche S.P.A.
ENLIGHTEN INNOVATIONS INC.,Enlighten Innovations Inc.
"Enlighten Innovations, Inc.",Enlighten Innovations Inc.
Enocell Limited,Enocell Ltd
Enovix Corporation,Enovix Corp
"EnSync, Inc.","Ensync, Inc."
"Entegris, Inc.","Entegris, Inc."
Entek Manufacturing Inc.,Entek Manufacturing Inc.
ENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - CNRS,Centre National De La Recherche Scientifique
"Envia Systems, Inc.","Envia Systems, Inc."
Envision AESC Energy Devices Ltd.,Envision Aesc Energy Devices Ltd.
EOPLEX LIMITED,"Eoplex, Inc."
"EoPlex, Inc.","Eoplex, Inc."
Epinovatech AB,Epinovatech Ab
Era Nouveau,Era Nouveau
Eras-Labo,Eras Labo
eSionic Corp.,Esionic Corp.
"eSionic ES, Inc.",Esionic Corp.
eSionic ES. Inc.,Esionic Corp.
"Eskra Technical Products, Inc.","Eskra Technical Products, Inc."
"ESS TECH, INC.","Ess Technology, Inc."
"ESS Technology, Inc.","Ess Technology, Inc."
ETH Zurich,Eth Zurich
"Evans Cooling Systems, Inc.","Evans Cooling Systems, Inc."
"Eveready Battery Co, Inc.","Eveready Battery Co., Inc."
"Eveready Battery Co., Inc.","Eveready Battery Co., Inc."
Eveready Battery Company,"Eveready Battery Co., Inc."
"Eveready Battery Company, Inc.","Eveready Battery Co., Inc."
EVERON24 LLC,Everon24 Llc.
Everon24 LLC.,Everon24 Llc.
Evionyx Inc,Evionyx Inc
Evonik Degussa GmbH,Evonik Degussa Gmbh
Evoqua Water Technologies LLC,Evoqua Water Technologies Llc
EWE-Forschungszentrum für Energietechnologie e. V.,Ewe-Forschungszentrum Für Energietechnologie E. V.
EWE-FORSCHUNGSZENTRUM FUR ENERGIETECHNOLOGIE E.V.,Ewe-Forschungszentrum Für Energietechnologie E. V.
EXA ENERGY TECHNOLOGY CO. LTD.,"Exa Energy Technology Co., Ltd."
"EXA ENERGY TECHNOLOGY CO., LTD.","Exa Energy Technology Co., Ltd."
Excellatron Solid State LLC,Excellatron Solid State Llc
"Excellatron Solid State, LLC",Excellatron Solid State Llc
EXERGY HOLDING B.V.,Exergy Holding B.V.
Exxon Research & Engineering Co.,Exxon Research & Engineering Co.
Exxon Research and Engineering Co.,Exxon Research & Engineering Co.
"Exxon Research and Engineering Co.,",Exxon Research & Engineering Co.
"Faith Technologies, Inc.","Faith Technologies,Inc."
"Faraday Technology, Inc.","Faraday Technology, Inc."
"FCET, Inc.","Fcet, Inc."
"FCET, LLC","Fcet, Inc."
FDK Corporation,Fdk Corp
Fiamm Energy Storage Solutions S.P.A.,Fiamm Energy Storage Solutions S.P.A.
Fiamm Energy Storage Solutions SpA.,Fiamm Energy Storage Solutions S.P.A.
FIELD UPGRADING LIMITED,"Field Upgrading Usa, Inc."
"FIELD UPGRADING U.S.A., INC.","Field Upgrading Usa, Inc."
"FIELD UPGRADING USA, INC.","Field Upgrading Usa, Inc."
Finmeccanica S.p.A. Azienda Ansaldo,Finmeccanica S.P.A. Azienda Ansaldo
Firac International Co Ltd,Firac International Co Ltd
Firma Carl Freudenberg,Firma Carl Freudenberg
"FISHER-ROSEMOUNT SYSTEMS, INC.","Fisher-Rosemount Systems, Inc."
FISKER INC.,Fisker Inc.
"Flexfab Horizons International, Inc.","Flexfab Horizons International, Inc."
"Florida State University Research Foundation, Inc.","Florida State University Research Foundation,Inc."
"Florida State University Research Foundation,Inc.","Florida State University Research Foundation,Inc."
"FLUIDIC, INC.","Fluidic, Inc"
FM LAB,Fm Lab
FMC Corporation,Fmc Corp
FMC Lithium USA Corp.,Fmc Corp
FMC Lithium USA Corp.,Fmc Lithium Usa Corp.
Foamex L.P.,Foamex L.P.
Ford Cheer International Limited,Ford Cheer International Ltd
Ford Global Technologies LLC,"Ford Global Technologies, Llc"
"Ford Global Technologies, Inc.","Ford Global Technologies, Llc"
"Ford Global Technologies, LLC","Ford Global Technologies, Llc"
Ford Motor Company,Ford Motor Co
FORM ENERGY INC.,"Form Energy, Inc."
"FORM ENERGY, INC.","Form Energy, Inc."
Forschungszentrum J&uuml;lich GmbH,Forschungszentrum Jülich Gmbh
FORSCHUNGSZENTRUM JUELICH GMBH,Forschungszentrum Jülich Gmbh
Forschungszentrum Julich GmbH,Forschungszentrum Jülich Gmbh
Forschungszentrum Jülich Gmbh,Forschungszentrum Jülich Gmbh
Forschungszeutrum Julich GmbH,Forschungszentrum Jülich Gmbh
FORSCHUNGZENTRUM JUELICH GMBH,Forschungszentrum Jülich Gmbh
Forshungszentrum J&uuml;lich GbmH,Forschungszentrum Jülich Gmbh
"FORTE NIHON BATTERY CO., LTD.","Forte Nihon Battery Co., Ltd."
Foster-Miller Inc.,"Foster-Miller, Inc."
"Foster-Miller, Inc.","Foster-Miller, Inc."
"Foundation For Research And Business, Seoul National University Of Science And Technology","Foundation For Research And Business, Seoul National University Of Science And Technology"
Framatome SAS,Framatome Sas
FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E. V.,Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E. V.
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung e.V.,Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E. V.
Fraunhofer Gesellschaft zur Forderung der angewandten Forschund e.v.,Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E. V.
Fraunhofer Gesellschaft Zur Forderung der Angewandten Forschung E.V.,Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E. V.
Fraunhofer-Gesellschaft zur Foerderung der angewan,Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E. V.
Fraunhofer-Gesellschaft Zur Foerderung der Angewandten,Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E. V.
Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung,Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E. V.
Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e. V.,Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E. V.
Fraunhofer-Gesellschaft zur Foerderung der Angewandten Forschung e.V.,Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E. V.
FRAUNHOFER-GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG E. V.,Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E. V.
Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.,Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E. V.
Fraunhofer-Gesellschaft zur Forderung der Angewandten Forschung E.V.,Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E. V.
Front Edge Technology,"Front Edge Technology, Inc."
Front Edge Technology Inc.,"Front Edge Technology, Inc."
"Front Edge Technology, Inc.","Front Edge Technology, Inc."
"Froton Energy Systems, Inc.","Froton Energy Systems, Inc."
"Fucellco, Incorporated","Fucellco, Incorped"
Fudan University,Fudan University
"FuelCell Energy, Inc.","Fuelcell Energy, Inc."
"Fuelcell Energy, Ltd.","Fuelcell Energy, Inc."
"FUELCELL POWER, INC","Fuelcell Energy, Inc."
"Fuji Electric Co., Ltd.","Fuji Electric Co., Ltd."
Fuji Jukogyo Kabushiki Kaisya,Fuji Jukogyo Kk
"Fuji Photo Film Co., Ltd.","Fuji Photo Film Co.,Ltd."
"Fuji Photo Film Co.,Ltd.","Fuji Photo Film Co.,Ltd."
"FUJI XEROX CO., LTD.",Fujifilm Business Innovation Corp.
FUJIFILM BUSINESS INNOVATION CORP.,Fujifilm Business Innovation Corp.
Fujifilm Corp,Fujifilm Holdings Corp
FUJIFILM Corporation,Fujifilm Holdings Corp
Fujifilm Holdings Corporation,Fujifilm Holdings Corp
FUJIFILM MANUFACTURING EUROPE B.V,Fujifilm Manufacturing Europe B.V.
Fujifilm Manufacturing Europe B.V.,Fujifilm Manufacturing Europe B.V.
Fujifilm Manufacturing Europe BV,Fujifilm Manufacturing Europe B.V.
FUJIFILM Wako Pure Chemical Corporation,Fujifilm Wako Pure Chemical Corp
FUJIKURA LTD,Fujikura Ltd.
FUJIKURA LTD.,Fujikura Ltd.
"FUJIKURA, LTD.",Fujikura Ltd.
Fujitsu Limited,Fujikura Ltd.
FuMA-Tech Gesellschaft fur funktionelle Membranen und Anlagentechnologie mbH,Fuma-Tech Gesellschaft Für Funktionelle Membranen Und Anlagentechnologie Mbh
FuMA-Tech Gesellschaft für funktionelle Membranen und Anlagentechnologie mbH,Fuma-Tech Gesellschaft Für Funktionelle Membranen Und Anlagentechnologie Mbh
FUNDACION CENTRO DE INVESTIGACION COOPERATIVA DE ENERGIAS ALTERNATIV AS CIC ENERGIGUNE FUNDAZIOA,Fundación Centro De Investigación Cooperativa De Energías Alternativas (Cic Energigune Fundazioa)
Fundación Centro de Investigación Cooperativa de Energías Alternativas (CIC energiGUNE Fundazioa),Fundación Centro De Investigación Cooperativa De Energías Alternativas (Cic Energigune Fundazioa)
FUNDACION CENTRO DE INVESTIGACION COOPERATIVA DE ENERGIAS ALTERNATIVAS CIC ENERGIGUNE FUNDAZIOA,Fundación Centro De Investigación Cooperativa De Energías Alternativas (Cic Energigune Fundazioa)
Fundacion Centro de Investigacion Cooperative de Energias Alternativas CIC Energigune Fundazioa,Fundacion Centro De Investigacion Cooperative De Energias Alternativas Cic Energigune Fundazioa
FUNDACION TECNALIA RESEARCH & INNOVATION,Fundacion Tecnalia Research & Innovation
"FURUKAWA ELECTRIC CO., LTD.","Furukawa Electric Co., Ltd. "
"Furukawa Electric Co., Ltd. ","Furukawa Electric Co., Ltd. "
FUTAMURA KAGAKU KABUSHIKI KAISHA,Futamura Kagaku Kk
G. CONCEPT TECHNOLOGY LTD.,G. Concept Technology Ltd.
G6 Materials Corp.,G6 Materials Corp.
GACHON UNIVERSITY OF INDUSTRY-ACADEMIC COOPERATION FOUNDATION,Gachon University Of Industry-Academic Cooperation Foundation
GACHON UNIVERSITY OF INDUSTRY—ACADEMIC COOPERATION FOUNDATION,Gachon University Of Industry-Academic Cooperation Foundation
Gaftech Inc.,Gaftech Inc.
GAIA Akkumulatorenwerke GMBH,Gaia Akkumulatorenwerke Gmbh
"GAMC Biotech Development Co., LTD.","Gamc Biotech Development Co., Ltd."
"GAMC BIOTECH DEVELOPMENT CO.,LTD.","Gamc Biotech Development Co., Ltd."
Garching Instrumente,Garching Instrumente
Garmor Inc.,Garmor Inc.
Gas Research Institute,Gas Research Institute
"Gas Research Institute, Inc.",Gas Research Institute
Gas Technology Institute,Gas Technology Institute
"GEL, Inc.","Gel, Inc."
Gelion Technologies Pty Ltd,Gelion Technologies Pty Ltd
General Electric Company,General Electric Co
General Motors Corporation,General Motors Corp
"Genesis Research Institute, Inc.","Genesis Research Institute, Inc."
"GEOMATEC CO., LTD.","Geomatec Co., Ltd."
Geo-rae Co Ltd,Geo-Rae Co Ltd
Georgia Institute of Technology,Georgia Institute Of Technology
Georgia Tech Research Corporation,Georgia Tech Research Corp
"Giner Electrochemical Systems, LLC","Giner Electrochemical Systems, Llc"
"Giner, Inc.","Giner, Inc."
GKSS-Forschungszentrum Geesthacht GmbH,Gkss-Forschungszentrum Geesthacht Gmbh
GLOBAL FRONTIER CENTER FOR MULTISCALE ENERGY SYSTEMS,Global Frontier Center For Multiscale Energy Systems
"Global Graphene Group, Inc.","Global Graphene Group, Inc."
Global Nano Network Limited,Global Nano Network Ltd
Global Nano Network Ltd,Global Nano Network Ltd
Global Thermoelectric Inc.,Global Thermoelectric Inc.
GM Global Technology Operations LLC,"Gm Global Technology Operations, Inc."
"GM Global Technology Operations, Inc","Gm Global Technology Operations, Inc."
"GM Global Technology Operations, Inc.","Gm Global Technology Operations, Inc."
"Golden Energy Fuel Cell Co., Ltd.","Golden Energy Fuel Cell Co., Ltd."
Google Inc.,Google Inc.
GOOGLE LLC,Google Inc.
Gore Enterprise Holdings,"Gore Enterprise Holdings, Inc."
"Gore Enterprise Holdings, Inc.","Gore Enterprise Holdings, Inc."
Gotion Inc.,"Gotion, Inc."
"Gotion, Inc.","Gotion, Inc."
Gould Electronics Inc.,Gould Electronics Inc.
Gould Electronics Limited,Gould Electronics Inc.
Gould Inc.,Gould Inc.
"GOVERNEMENT OF THE UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY OF COMMERCE","The United States Of America, As Represented By The Secretary Of Commerce"
Government of the United States as Represented by the Secretary of the Air Force,Government Of The United States As Represented By The Secretary Of The Air Force
"Government of the United States, as represented by he Secretary of the Air Force",Government Of The United States As Represented By The Secretary Of The Air Force
"Government of the United States, as represented by the Secretary of the Air Force",Government Of The United States As Represented By The Secretary Of The Air Force
Graftech Inc.,Graftech International Ltd.
GrafTech International Ltd.,Graftech International Ltd.
GraftTech Inc.,Grafttech Inc.
GRAPHENE 3D LAB INC.,Graphene 3D Lab Inc.
"GRAPHENIDE TECHNOLOGY CO., LTD.","Graphenide Technology Co., Ltd."
"Graphenix Development, Inc.","Graphenix Development, Inc."
Greatbartch Ltd.,Greatbatch Ltd.
Greatbatch Ltd.,Greatbatch Ltd.
GRINERGY CO.LTD.,Grinergy Co.Ltd.
GRU ENERGY LAB INC.,"Gru Energy Lab, Inc."
GS ENERGY CORPORATION,Gs Energy Corp
GS Yuasa Corporation,Gs Yuasa Corp
GS Yuasa International Ltd.,Gs Yuasa International Ltd.
"GSNANO TECH CO., LTD.","Gsnano Tech Co., Ltd."
"GSNANOTECH CO., LTD.","Gsnano Tech Co., Ltd."
"GUALA TECHNOLOGY CO., LTD","Guala Technology Co., Ltd. "
"GUALA TECHNOLOGY CO., LTD.","Guala Technology Co., Ltd."
"GUANGZHOU INSTITUTE OF ENERGY CONVERSION, CHINESE ACADEMY OF SCIENCES",Guangzhou Institute Of Energy Conversion Chinese Academy Of Sciences
Guangzhou Tinci Materials Technology Co Ltd,Guangzhou Tinci Materials Technology Co Ltd
Gwangju Institute of Science and Technology,Gwangju Institute Of Science And Technology
H Power Corp.,H Power Corp
H Power Corporation,H Power Corp
H.C. Starck GmbH,H.C. Starck Gmbh
H.E.F.,H.E.F.
H2 Pump LLC,H2 Pump Llc.
H2 Pump LLC.,H2 Pump Llc.
Haldor Topsoe A/S,Haldor Topsoe A/S
"Halliburton Energy Services, INC.","Halliburton Energy Services, Inc."
HAMILTON SUNDSTRAND CORPORATION,Hamilton Sundstrand Corp
HAMILTON SUNSTRAND CORPORATION,Hamilton Sundstrand Corp
HANGZHOU DIANZI UNIVERSITY,Hangzhou Dianzi University
Hannelore Binsmaier Nee Gallin-Ast,Hannelore Binsmaier Nee Gallin-Ast
Hansaton Akustik GMBH,Hansaton Akustik Gmbh
"HANSOL CHEMICAL CO., LTD.","Hansol Chemical Co., Ltd."
"Hanyang Hak Won Co., Ltd","Hanyang Hak Won Co., Ltd."
"Hanyang Hak Won Co., Ltd.","Hanyang Hak Won Co., Ltd."
Hanyang University Cooperation Foundation Hanyang University,Industry-University Cooperation Foundation Hanyang University
"Hanyank Hak Won Co., Ltd.","Hanyang Hak Won Co., Ltd."
Harris Corporation,Harris Corp
HAZER GROUP LTD,Hazer Group Ltd
Heliocentris Energiesysteme GmbH,Heliocentris Energiesysteme Gmbh
Helion,Helion
Helmholtz-Zentrum Geesthacht Zentrum fur Material- und Kustenforschung GmbH,Helmholtz-Zentrum Geesthacht Zentrum Fur Material- Und Kustenforschung Gmbh
Her Majesty the Queen as represented by the Minister of National Defence of Her Majesty's Canadian Government,"Her Majesty The Queen In Right Of Canada, As Represented By The Minister Of National Defence In Her Britannic Majesty'S Government Of The United Kingdom Of Great Britain And Northern Ireland"
"Her Majesty the Queen in right of Canada, as represented by the Minister of National Defence","Her Majesty The Queen In Right Of Canada, As Represented By The Minister Of National Defence In Her Britannic Majesty'S Government Of The United Kingdom Of Great Britain And Northern Ireland"
"Her Majesty the Queen in right of Canada, as represented by the Minister of National Defence in Her Britannic Majesty's Government of the United Kingdom of Great Britain and Northern Ireland","Her Majesty The Queen In Right Of Canada, As Represented By The Minister Of National Defence In Her Britannic Majesty'S Government Of The United Kingdom Of Great Britain And Northern Ireland"
Hercules Inc.,Hercules Inc.
HERCULES LLC,Hercules Inc.
Hewlett Packard Enterprise Development LP,Hewlett Packard Enterprise Development Lp
"Hewlett-Packard Development Company, L.P.","Hewlett-Packard Development Co, L.P."
Hexis AG,Hexis Ag
"HHeLi, LLC","Hheli, Llc."
"Hheli, LLC.","Hheli, Llc."
HiFunda LLC,Hifunda Llc
High Performance Battery Technology GmbH,High Performance Battery Technology Gmbh
High Tech Battery Inc.,High Tech Battery Inc.
"Hitachi Chemical Co., Ltd.","Hitachi Chemical Co., Ltd."
"HITACHI CHEMICAL COMPANY, LTD.","Hitachi Chemical Co., Ltd."
Hitachi High-Tech Corporation,Hitachi High-Tech Corp
"Hitachi Maxell, Ltd.","Hitachi Maxell, Ltd."
"Hitachi Metals, Ltd.","Hitachi Metals, Ltd."
"Hitachi Powdered Metals Co., Ltd.","Hitachi Powdered Metals Co., Ltd."
Hitachi Zosen Corporation,Hitachi Zosen Corp
"Hitachi, Ltd","Hitachi, Ltd."
"Hitachi, Ltd,","Hitachi, Ltd."
"Hitachi, Ltd.","Hitachi, Ltd."
HK INVENT CORPORATION,Invent Hong Kong Ltd.
